48,21,63,42
78,16,92,45
106,18,122,41
148,19,168,40
178,19,196,40
201,18,225,41
231,18,254,38
261,16,286,38
290,13,312,39
313,15,343,36
342,15,372,32
374,12,400,32
403,12,432,31
432,12,461,30
460,11,492,29
490,10,525,29
521,10,553,26
551,10,584,28
580,4,617,27
613,8,651,24
6,49,24,72
36,53,51,72
63,53,84,72
91,48,112,73
138,50,158,69
163,49,187,69
194,48,218,69
221,49,247,69
252,48,280,68
282,49,308,69
312,47,340,64
340,49,367,65
371,41,402,67
402,44,430,65
429,44,465,66
461,42,496,62
493,38,528,62
526,42,560,63
556,37,597,62
589,40,626,60
621,40,656,60
3,112,19,134
29,111,54,136
65,109,83,136
111,108,134,134
146,107,166,136
174,106,197,136
206,105,233,132
237,104,268,131
270,104,299,132
300,99,329,131
332,102,367,129
368,97,398,129
399,99,431,127
430,97,468,128
466,94,503,129
496,96,537,127
533,103,569,127
565,99,610,126
605,99,645,123
636,96,682,123
16,150,38,178
47,151,72,176
99,148,123,172
132,151,162,177
163,146,192,174
198,150,222,174
228,150,261,174
262,146,290,173
294,144,325,170
329,146,360,171
362,141,400,167
399,142,432,166
433,139,468,169
467,142,504,167
504,143,542,166
540,136,582,165
575,136,618,166
612,136,655,167
648,138,694,168
13,222,34,255
65,220,92,254
107,225,136,258
137,225,168,254
176,224,203,253
209,221,239,255
251,217,276,252
282,216,318,254
322,213,356,254
357,213,398,253
394,221,426,250
433,220,474,252
473,217,518,254
512,218,556,252
552,216,599,253
594,218,639,249
631,218,681,253
675,220,724,256
47,267,70,305
84,273,113,308
125,269,152,306
163,273,190,306
202,272,231,308
241,269,272,307
278,269,318,304
316,269,354,306
355,273,388,306
432,268,479,309
479,269,517,304
518,267,563,305
556,271,605,303
598,265,649,307
640,266,694,308
687,271,735,305
