304,468,388,582
271,390,347,479
245,326,313,406
223,270,287,343
204,224,262,281
192,176,248,234
171,139,225,188
158,101,206,151
151,75,197,116
139,46,182,87
365,425,433,507
317,353,388,431
302,288,362,357
272,235,337,297
254,192,315,246
237,148,295,200
222,117,272,161
202,78,258,127
192,58,236,93
175,31,219,68
542,303,591,374
503,241,543,312
468,198,507,273
431,163,473,225
400,122,442,182
380,92,416,153
354,63,392,116
335,40,373,94
315,9,352,68
570,260,630,322
533,205,585,263
496,165,552,214
464,124,514,170
434,94,478,134
410,61,458,103
389,38,429,75
366,11,410,47
561,75,591,136
529,50,559,100
500,30,532,79
